Date,AAVE-USD,ADA-USD,ALGO-USD,AMP1-USD,BCH-USD,BNB-USD,BTC-USD,CRO-USD,DOGE-USD,DOT1-USD,EOS-USD,ETC-USD,ETH-USD,FIL-USD,HEX-USD,ICP1-USD,LINK-USD,LTC-USD,MATIC-USD,SHIB-USD,SOL1-USD,THETA-USD,TRX-USD,UNI3-USD,USDC-USD,USDT-USD,VET-USD,XLM-USD,XMR-USD,XRP-USD
2021-02-08,417.4603251795615,0.6825109720230103,1.0106070041656494,0.04761231552448965,483.7041320800781,79.83154296875,46196.46484375,0.07426584557212633,0.07882499694824219,23.031898498535156,3.579210042953491,8.695137977600098,1746.6168212890625,15.541560436913331,0.007625005696354492,131.643737248012,25.45610237121582,167.21905517578125,0.11445108444252615,1.653333347348962e-06,7.8832502365112305,2.923135995864868,0.0405460000038147,33.0901250082349,0.999796986579895,1.0010440349578857,0.03139699995517731,0.39560601115226746,162.7454376220703,0.44770199060440063
2021-02-09,417.4603251795615,0.7035160064697266,1.0290169715881348,0.04761231552448965,513.53271484375,107.89927673339844,46481.10546875,0.07426584557212633,0.07006999850273132,23.12996482849121,4.159718990325928,9.569907188415527,1768.0350341796875,15.541560436913331,0.007625005696354492,131.643737248012,27.594215393066406,182.11447143554688,0.11445108444252615,1.653333347348962e-06,7.816792964935303,2.900099992752075,0.04603400081396103,33.0901250082349,1.000040054321289,1.0012320280075073,0.035339001566171646,0.3967370092868805,169.63153076171875,0.47199100255966187
2021-02-10,417.4603251795615,0.9303179979324341,1.0320899486541748,0.04761231552448965,494.9677734375,129.73715209960938,44918.18359375,0.07426584557212633,0.07289600372314453,23.585050582885742,4.1298699378967285,10.395907402038574,1744.243408203125,15.541560436913331,0.007625005696354492,131.643737248012,26.859596252441406,182.1743927001953,0.11445108444252615,1.653333347348962e-06,9.072214126586914,2.832585096359253,0.046188998967409134,33.0901250082349,1.0000170469284058,1.000722050666809,0.03583500161767006,0.41241899132728577,175.71759033203125,0.503445029258728
2021-02-11,417.4603251795615,0.9277409911155701,1.2497169971466064,0.04761231552448965,529.7373657226562,124.43425750732422,47909.33203125,0.07426584557212633,0.0696759968996048,25.230295181274414,4.585698127746582,11.672607421875,1783.7979736328125,15.541560436913331,0.007625005696354492,131.643737248012,27.874238967895508,184.49600219726562,0.11445108444252615,1.653333347348962e-06,9.215352058410645,2.9314489364624023,0.0570640005171299,33.0901250082349,0.9998440146446228,1.0003670454025269,0.04271800071001053,0.45291200280189514,190.3765869140625,0.5247870087623596
2021-02-12,417.4603251795615,0.925586998462677,1.7124240398406982,0.04761231552448965,577.6043090820312,136.94839477539062,47504.8515625,0.07426584557212633,0.07006900012493134,28.69125747680664,4.749420166015625,12.028255462646484,1843.5325927734375,15.541560436913331,0.007625005696354492,131.643737248012,30.64073944091797,197.23170471191406,0.11445108444252615,1.653333347348962e-06,9.2470121383667,2.9880499839782715,0.05532199889421463,33.0901250082349,0.9998239874839783,1.0016920566558838,0.05469899997115135,0.5278429985046387,201.41067504882812,0.6085919737815857
2021-02-13,417.4603251795615,0.905718982219696,1.6696950197219849,0.04761231552448965,663.6793823242188,133.4526824951172,47105.515625,0.07426584557212633,0.06644999980926514,28.016725540161133,5.49298095703125,16.592817306518555,1814.10986328125,15.541560436913331,0.007625005696354492,131.643737248012,34.10197830200195,226.22760009765625,0.11445108444252615,1.653333347348962e-06,8.732455253601074,3.3410890102386475,0.05961599946022034,33.0901250082349,0.9998610019683838,1.0008280277252197,0.0547030009329319,0.5599480271339417,240.5587921142578,0.6289960145950317
2021-02-14,417.4603251795615,0.8484190106391907,1.4720920324325562,0.04761231552448965,724.0156860351562,136.426513671875,48717.2890625,0.07426584557212633,0.06253699958324432,27.095735549926758,5.095240116119385,16.143665313720703,1805.0841064453125,15.541560436913331,0.007625005696354492,131.643737248012,33.290321350097656,214.43026733398438,0.11445108444252615,1.653333347348962e-06,8.738896369934082,3.1947360038757324,0.05554400011897087,33.0901250082349,1.0000250339508057,1.0007460117340088,0.05266899988055229,0.5176439881324768,230.6996307373047,0.5941929817199707
2021-02-15,417.4603251795615,0.8610119819641113,1.350877046585083,0.04761231552448965,712.4305419921875,129.56788635253906,47945.05859375,0.07426584557212633,0.05659100040793419,27.780893325805664,4.698224067687988,14.64238452911377,1779.791015625,15.541560436913331,0.007625005696354492,131.643737248012,32.575897216796875,207.68101501464844,0.11445108444252615,1.653333347348962e-06,8.861739158630371,3.3908610343933105,0.05074600130319595,33.0901250082349,1.000038981437683,1.000249981880188,0.050898000597953796,0.49376198649406433,227.5124969482422,0.5489150285720825
2021-02-16,417.4603251795615,0.8709509968757629,1.3135279417037964,0.04761231552448965,707.29150390625,130.05665588378906,49199.87109375,0.07426584557212633,0.05352000147104263,30.159910202026367,4.649903774261475,14.353540420532227,1781.0675048828125,15.541560436913331,0.007625005696354492,131.643737248012,31.973480224609375,210.54656982421875,0.11445108444252615,1.653333347348962e-06,8.297866821289062,3.4090030193328857,0.05217399820685387,33.0901250082349,1.0001139640808105,1.0004030466079712,0.049417998641729355,0.4866099953651428,221.2810821533203,0.5208460092544556
2021-02-17,417.4603251795615,0.8909199833869934,1.3692610263824463,0.04761231552448965,716.6982421875,164.67010498046875,52149.0078125,0.07426584557212633,0.049375999718904495,31.986658096313477,4.842994213104248,15.248035430908203,1848.458251953125,15.541560436913331,0.007625005696354492,131.643737248012,32.256797790527344,236.97352600097656,0.11445108444252615,1.653333347348962e-06,8.222577095031738,3.503770112991333,0.05260400101542473,33.0901250082349,0.9998409748077393,1.0003700256347656,0.05138799920678139,0.4970020055770874,270.9957275390625,0.5355370044708252
2021-02-18,417.4603251795615,0.9141190052032471,1.400668978691101,0.04761231552448965,705.9884643554688,195.93263244628906,51679.796875,0.07426584557212633,0.0595409981906414,31.180639266967773,4.839303016662598,14.970126152038574,1937.44921875,15.541560436913331,0.007625005696354492,131.643737248012,32.44149398803711,226.8695526123047,0.11445108444252615,1.653333347348962e-06,8.980451583862305,3.564039945602417,0.05498899891972542,33.0901250082349,1.0000460147857666,1.0000189542770386,0.05459100008010864,0.4975079894065857,262.19024658203125,0.5324329733848572
2021-02-19,417.4603251795615,0.9276490211486816,1.374461054801941,0.04761231552448965,720.8218994140625,332.61602783203125,55888.1328125,0.07426584557212633,0.055139001458883286,34.79221725463867,5.242351055145264,15.376611709594727,1960.164794921875,15.541560436913331,0.007625005696354492,131.643737248012,34.7152099609375,236.67601013183594,0.11445108444252615,1.653333347348962e-06,11.465653419494629,3.7128379344940186,0.06103000044822693,33.0901250082349,1.0000510215759277,1.0002009868621826,0.053617000579833984,0.5136020183563232,283.4813537597656,0.567018985748291
2021-02-20,417.4603251795615,1.1229579448699951,1.3139970302581787,0.04761231552448965,682.1824340820312,255.9537353515625,56099.51953125,0.07426584557212633,0.05438400059938431,39.2421760559082,4.870359897613525,15.105356216430664,1919.5340576171875,15.541560436913331,0.007625005696354492,131.643737248012,34.10981750488281,227.61988830566406,0.11445108444252615,1.653333347348962e-06,10.002663612365723,3.686203956604004,0.05804099887609482,33.0901250082349,0.9998520016670227,1.000067949295044,0.053679000586271286,0.48800599575042725,256.0428466796875,0.5175120234489441
2021-02-21,417.4603251795615,1.1005200147628784,1.3081640005111694,0.04761231552448965,707.5924072265625,293.923583984375,57539.9453125,0.07426584557212633,0.055980000644922256,39.69622802734375,5.113160133361816,15.662422180175781,1935.60107421875,15.541560436913331,0.007625005696354492,131.643737248012,34.152740478515625,227.23135375976562,0.11445108444252615,1.653333347348962e-06,11.0855131149292,3.56518292427063,0.05946800112724304,33.0901250082349,0.9999449849128723,1.000331997871399,0.05483600124716759,0.49876800179481506,247.6500244140625,0.5485600233078003
2021-02-22,417.4603251795615,1.0991510152816772,1.1444499492645264,0.04761231552448965,630.349853515625,267.5097961425781,54207.3203125,0.07426584557212633,0.053725000470876694,37.68947982788086,4.706855773925781,13.945221900939941,1781.992919921875,15.541560436913331,0.007625005696354492,131.643737248012,31.530805587768555,208.10679626464844,0.11445108444252615,1.653333347348962e-06,14.454785346984863,3.3369410037994385,0.05437599867582321,33.0901250082349,1.000074028968811,1.0001109838485718,0.05022599920630455,0.4669570028781891,225.02664184570312,0.571740984916687
2021-02-23,417.4603251795615,0.954708993434906,0.9997979998588562,0.04761231552448965,513.1873779296875,230.99424743652344,48824.42578125,0.07426584557212633,0.04739199951291084,34.30077362060547,3.836129903793335,11.318225860595703,1570.2039794921875,15.541560436913331,0.007625005696354492,131.643737248012,25.800342559814453,176.93492126464844,0.11445108444252615,1.653333347348962e-06,15.2015380859375,3.047661066055298,0.04478999972343445,33.0901250082349,1.0002210140228271,1.0000319480895996,0.041850000619888306,0.3865300118923187,219.5310516357422,0.47356298565864563
2021-02-24,417.4603251795615,1.05165696144104,1.0617610216140747,0.04761231552448965,527.0413818359375,254.359130859375,49705.33203125,0.07426584557212633,0.05655499920248985,33.633544921875,3.9011778831481934,11.883302688598633,1626.57568359375,15.541560436913331,0.007625005696354492,131.643737248012,28.086719512939453,181.3784942626953,0.11445108444252615,1.653333347348962e-06,17.30270767211914,3.3214049339294434,0.04802799969911575,33.0901250082349,1.000229001045227,1.0007569789886475,0.042858999222517014,0.40724000334739685,205.74913024902344,0.4718320071697235
2021-02-25,417.4603251795615,1.0791159868240356,0.9760090112686157,0.04761231552448965,496.91265869140625,233.88595581054688,47093.8515625,0.07426584557212633,0.05016700178384781,31.080659866333008,3.6550800800323486,10.993837356567383,1475.7037353515625,15.541560436913331,0.007625005696354492,131.643737248012,24.668046951293945,178.90184020996094,0.11445108444252615,1.653333347348962e-06,13.816014289855957,2.977452039718628,0.045205000787973404,33.0901250082349,1.0000720024108887,1.0001490116119385,0.03926600143313408,0.38126900792121887,197.54811096191406,0.4345239996910095
2021-02-26,417.4603251795615,1.2411049604415894,0.9712859988212585,0.04761231552448965,484.5122375488281,221.68043518066406,46339.76171875,0.07426584557212633,0.05048000067472458,31.34609031677246,3.554774045944214,10.723517417907715,1446.03369140625,15.541560436913331,0.007625005696354492,131.643737248012,25.187313079833984,170.3981475830078,0.11445108444252615,1.653333347348962e-06,13.58794116973877,3.0401499271392822,0.045173000544309616,33.0901250082349,0.9999859929084778,0.9999939799308777,0.03951499983668327,0.40067800879478455,204.1044921875,0.4278999865055084
2021-02-27,417.4603251795615,1.3248599767684937,1.098628044128418,0.04761231552448965,483.7453308105469,225.2494354248047,46188.453125,0.07426584557212633,0.05008300021290779,33.44936752319336,3.6742069721221924,11.112075805664062,1459.97314453125,15.541560436913331,0.007625005696354492,131.643737248012,26.235097885131836,172.10044860839844,0.11445108444252615,1.653333347348962e-06,13.201168060302734,3.148977041244507,0.046606000512838364,33.0901250082349,1.0000309944152832,1.0011780261993408,0.04092799872159958,0.44145798683166504,209.31080627441406,0.4378089904785156
