Date,principal component 1,principal component 2,principal component 3,principal component 4,PCA_mean
2018-10-07,0.5426786260853083,1.4371971697763624,2.120554987465016,0.7210777377315358,1.2053771302645555
2018-10-14,0.5183001551383511,1.7820365677373604,3.84303572232156,2.1654012421272486,2.07719342183113
2018-10-21,0.5747532341748712,1.4180192224556083,2.4908571956208103,1.0241959974880652,1.3769564124348388
2018-10-28,0.5393760832167089,0.412903806474351,2.273499567021111,0.2327205926846103,0.8646250123491953
2018-11-04,0.2661131733372689,1.0835183105449575,2.288260225996161,0.2314165309499384,0.9673270602070815
2018-11-11,0.8044606462943292,1.9515636189887158,3.0545536133994866,2.3368009273068977,2.0368447014973574
2018-11-18,1.7495286505334622,1.8602136440462589,2.589282074584452,2.9726106656696416,2.2929087587084536
2018-11-25,2.038926102412398,1.227794060970396,1.0798722992356729,1.83916446307642,1.5464392314237216
2018-12-02,2.487410671555029,1.088277861415223,0.8713038934167531,1.2523105405277368,1.4248257417286856
2018-12-09,2.739365916770189,1.1481550592635197,1.6084973554694335,1.0660434660598004,1.6405154493907355
2018-12-16,2.399826729606579,1.3251052356239021,2.7171525551899434,0.12196308983862768,1.641011902564763
2018-12-23,2.3833912789205733,1.5156126713229947,3.5283643853986764,0.12627122964779858,1.8884098913225107
2018-12-30,2.326990776131161,1.3442811461816695,3.07664763919747,0.1440296163629023,1.722987294468301
2019-01-06,2.316550452423475,0.8882923172493,3.085424517152032,0.5389405215140628,1.7073019520847175
2019-01-13,2.4687100639405517,1.413822868165856,3.1205481459385727,0.17724712471628085,1.7950820506903153
2019-01-20,2.3482923065065653,0.8747289959902008,1.6643115907886603,0.3277570801799329,1.30377249336634
2019-01-27,2.4512357797994637,1.1081399188294525,1.2119561145441984,0.9039135585923233,1.4188113429413596
2019-02-03,2.330484512039482,0.8875628966960659,0.3615438583615382,0.9641214068507804,1.1359281684869666
2019-02-10,2.3273245900936232,1.2294935428206832,0.7521045240490821,1.0057111939269634,1.328658462722588
2019-02-17,2.0719086968557447,1.2060070241304783,1.030385879514944,0.24151510973611495,1.1374541775593205
2019-02-24,2.2069440475150097,1.3510390893156572,1.5966285238922289,0.2849339161632823,1.3598863942215447
2019-03-03,2.173688365104511,1.5891964073683538,1.4736321251970141,0.5723254867086286,1.4522105960946268
2019-03-10,2.1001760048973384,1.5919271706599731,1.456581475996854,0.6040777942436559,1.4381906114494554
2019-03-17,2.0013582722903087,1.3445932627883028,1.3782984840684351,0.300241884964981,1.2561229760280068
2019-03-24,1.866233168454779,0.9508198060160284,0.5433037986299197,0.03638577206273237,0.849185636290865
2019-03-31,1.2433170145711951,0.5832912051864285,0.04619373967011477,0.8350698872543835,0.6769679616705305
2019-04-07,1.1572368006016212,0.8086822817704206,0.009134301566023722,0.8857388034186368,0.7151980468391755
2019-04-14,1.1794110569705336,0.7792300595507926,0.09065900406167024,0.8220029458222385,0.7178257666013088
2019-04-21,1.421771651588597,0.9985079366766042,0.8253702001785657,0.25014405389256666,0.8739484605840834
2019-04-28,1.5130413156273104,1.625776607515502,0.16346360714881245,0.6580132629193144,0.9900736983027347
2019-05-05,1.2741025198053073,0.6275345308457143,0.9629102290450022,0.23556519894112746,0.7750281196592878
2019-05-12,0.601659822933826,0.4590867803734458,1.1441154166826693,1.1193894092735013,0.8310628573158606
2019-05-19,0.5150329802835697,0.4712753350423281,0.7714774245287127,1.4053525304356551,0.7907845675725664
2019-05-26,0.060427930858422886,1.2227524124937177,1.3548011200222796,1.2269095641002443,0.9662227568686661
2019-06-02,0.41581269311691904,0.7664609231976919,1.0026683229800184,1.0667752588118846,0.8129292995266284
2019-06-09,0.259608490365554,0.7353165835458351,0.7993871289996237,1.2437223101503334,0.7595086282653365
2019-06-16,0.046072165777323634,0.7037560221101321,1.5698583688929453,1.1451282955685136,0.8662037130872287
2019-06-23,0.005546550916683002,0.7040002926502487,2.1293160961878224,0.4066481128857559,0.8113777631601274
2019-06-30,0.3126706091632548,0.287570363323611,1.1809159129970548,0.9623877721878076,0.685886164417932
2019-07-07,0.62386431405275,0.039162486667749005,0.8781188283937796,0.8087786087468666,0.5874810594652863
2019-07-14,1.128635907143437,0.01706181276548905,0.1080894280324496,0.6178869615277103,0.4679185273672715
2019-07-21,1.1372196276859017,0.10076414449618293,0.5878644475794564,0.4773115887418723,0.5757899521258534
2019-07-28,1.1381840679240325,0.014263933838853375,0.2805371069489049,0.6941080825682223,0.5317732978200033
2019-08-04,1.0871327590203688,0.24564144526275514,0.7751076638196747,0.6158670035201667,0.6809372179057412
2019-08-11,1.3462909624678832,0.21876870869956835,0.7574658804240135,0.3755911357091304,0.6745291718251489
2019-08-18,1.4019595260835238,0.259421077301925,0.5077711463258505,0.531196585498344,0.6750870838024109
2019-08-25,1.6088979616414123,0.2265038810609501,0.35147485542151435,0.4314523474122613,0.6545822613840345
2019-09-01,1.599010268333959,0.2682771950379197,0.1037084658646133,0.6428139563492246,0.6534524713964291
2019-09-08,1.5382025972386355,0.20029039134964,0.4206906479746096,0.65452104157364,0.7034261695341313
2019-09-15,1.4217454774280611,0.0040042833373990245,0.3045306632406428,0.5977513803240696,0.5820079510825431
2019-09-22,2.011330439871968,0.004274155922810057,0.5753203751757551,0.3417826722108708,0.7331769107953509
2019-09-29,2.0180010305810603,0.054991014249333725,0.5890498328884254,0.4175408647065648,0.769895685606346
2019-10-06,1.918961424450232,0.0007920201198138892,0.6169016536161823,0.4727944676570001,0.7523623914608071
2019-10-13,1.9358574532305703,0.135633680572047,0.33055004103091346,0.3766521339659519,0.6946733271998706
2019-10-20,1.8820594674791788,0.21536851209338032,0.1868603152283584,0.4110095666848403,0.6738244653714395
2019-10-27,1.6700552817320913,0.10630564296206324,0.16222350185155965,0.5001092607257573,0.6096734218178679
2019-11-03,1.5848361185844737,0.042330759288689186,0.044181022635933466,0.4193318201909235,0.522669930175005
2019-11-10,1.6906770831317113,0.212395289336687,0.22124669710466968,0.15740463490978848,0.5704309261207141
2019-11-17,2.0955059680243138,0.4267438277047348,1.1822748751697745,0.05403999424034594,0.9396411662847922
2019-11-24,2.094379902584694,0.27039044256373085,0.3841448558484302,0.35513904805882923,0.7760135622639212
2019-12-01,2.153573513939376,0.08098600875947454,0.6423056711530307,0.28080274689356266,0.789416985186361
