Date,principal component 1,principal component 2,principal component 3,principal component 4
2018-10-07,-0.8239524618987913,1.418253448991195,2.2942083685907404,0.4825844885807977
2018-10-14,-0.7937921701749402,1.7474775235161364,4.087281160845364,1.5876097441136103
2018-10-21,-0.852094648009235,1.3905361234587064,2.672385070808573,0.7137666914764202
2018-10-28,-0.8029263606054444,0.29050826738223856,2.3514107365523804,-0.35971941018898945
2018-11-04,-0.5407655380760921,1.0243550743531713,2.437822264566242,0.0773568075125676
2018-11-11,-1.0788751067751363,1.9738035177105633,3.3013265432931305,1.8037948273353306
2018-11-18,-2.01082244865293,1.9052666041445288,2.804029252796048,2.318147699615226
2018-11-25,-2.297275812390077,1.2654619352694716,1.1983410241315466,1.445794428782575
2018-12-02,-2.7506408516882175,1.1861744646705812,-0.8130055469310432,1.0791410133963757
2018-12-09,-3.0044335329898626,1.2741812131676706,-1.5654350081838653,0.958339508155637
2018-12-16,-2.6779119190692064,1.4957790375826328,-2.669277612645387,0.2638638452207714
2018-12-23,-2.6704936461320137,1.7276099549768562,-3.47948780952352,0.11929697311448839
2018-12-30,-2.61056961222267,1.5235696971153334,-3.0348888067819306,0.06353258806711216
2019-01-06,-2.593336771180874,1.0287694156613898,-3.0830430990534716,-0.2748390563808849
2019-01-13,-2.751125128713317,1.6129467139428164,-3.0683438741619433,0.34175458237213185
2019-01-20,-2.615941382972871,0.9688779277959042,-1.6368616641728342,0.3427482597004554
2019-01-27,-2.717792020033381,1.212063221144406,-1.1555080127502042,0.7924901447012459
2019-02-03,-2.590491311473477,0.9397977181872633,-0.3078051895245106,0.7750762652985154
2019-02-10,-2.5949952797703375,1.3297725840130592,-0.6701792081057364,0.849490886076857
2019-02-17,-2.343427074803291,1.3045864128312807,-0.947317626955841,0.22755108687650877
2019-02-24,-2.4821426211112567,1.4871898733978701,-1.5120706307868408,0.3087927249035892
2019-03-03,-2.452096856476569,1.749193880814569,-1.3584619266147295,0.5577970018699209
2019-03-10,-2.379831960680251,1.7562842817686468,-1.336290460980344,0.5985243779416353
2019-03-17,-2.2790648136303937,1.4783107864751555,-1.281107925703022,0.333499101265515
2019-03-24,-2.135229906973515,1.0102916940844098,-0.4678956694153207,0.028293702335535797
2019-03-31,-1.511916790042978,0.5766832307318257,0.11170772555738262,-0.7289130248338707
2019-04-07,-1.430716657996584,0.8180177031426923,0.07705694882091636,-0.7650118651767701
2019-04-14,-1.451300205728883,0.7856181707852067,0.17590637197546855,-0.72032379600234
2019-04-21,-1.6899486706863724,1.0114207402915945,0.9395210766036011,0.12627565751799888
2019-04-28,-1.7930061714233183,1.7267090099663382,0.3266531813643191,0.5407754114123504
2019-05-05,-1.5376462036629661,0.5996311285186987,1.0469225406132514,-0.2922112961778825
2019-05-12,-0.8720520306338464,0.39687172395022774,1.2298079440210308,-1.028985346481096
2019-05-19,-0.7896246373357826,0.4243725261757994,0.8555848117565763,-1.2326113224561737
2019-05-26,-0.34674594092756444,1.2169946055449854,1.5398355782244864,-1.0975513408999866
2019-06-02,-0.6950165971512553,0.7346273753799754,1.122205237881271,-0.9501384543755015
2019-06-09,-0.542451732037486,0.7193662723899388,0.9245530380960834,-1.049967208070433
